nome,nome_it,tipo,comune,provincia,lat,lon,osm_id,wikipedia,wikidata
Casaiole,,hamlet,,,42.8579208,12.3374846,3993995958,,Q18492375
Casal della Valle,,hamlet,,,42.6081379,12.7220304,6557444578,,
Casal di Mezzo,,hamlet,,,42.6371685,12.7210512,649280327,,Q18492376
Casalalta,,hamlet,,,42.9452708,12.4372042,3016776991,it:Casalalta,Q2353542
Casale,,hamlet,,,42.8821306,12.6178943,4005500482,,Q33428944
Casale,,hamlet,,,42.9527412,12.8470192,11805461718,,
Casale Ronchetti,,hamlet,,,42.8960368,12.8597767,4028637576,,Q18494390
Casale di Scopoli,,hamlet,,,42.9620193,12.7972573,1635655052,,Q18492380
Casaletto Cameresi,,hamlet,,,42.7960636,13.1026963,4471203719,,
Casali,,hamlet,,,42.5338354,12.3061776,650728866,,Q18494548
Casali Belforte,,hamlet,,,42.8530207,12.9682738,1776992669,it:Belforte (Preci),Q18492382
Casali Cardella,,hamlet,,,42.8857823,13.0369126,4471909364,,
Casali San Lazzaro,,hamlet,,,42.8605603,12.9766966,13374406152,,
Casali di Serravalle,,hamlet,,,42.7922084,13.0625389,1263504563,,Q18492384
Casalicchio,,hamlet,,,42.8319617,12.1594753,317003710,,Q18494550
Casalina,,hamlet,,,42.9501355,12.4000506,339387581,,
Casalina,,hamlet,,,43.3622795,12.1486035,10539724011,,
Casalini,,hamlet,,,43.0635185,12.1417357,2836204151,,
Casalino,,hamlet,,,43.4648515,12.1235678,1271320241,,Q18492390
Casaltondo,,hamlet,,,42.9976333,12.0297251,1296554762,,Q18492392
Casaluna,,hamlet,,,43.1668551,12.8489526,3924118026,,Q18492394
Casamaggiore,,hamlet,,,43.1021147,11.9689346,3919081488,it:Casamaggiore,Q425802
Casamorcia-Raggio,,village,,,43.3725603,12.5217234,3880506824,,
Casanova,,hamlet,,,42.6429997,12.5345153,12153779785,,
Casanova di Torre,,village,,,43.2933876,12.6597093,3919175649,,Q18492399
Cascia,,village,,,42.7170082,13.0135022,68507667,it:Cascia,Q20384
Cascinano,,hamlet,,,42.7752474,12.6860789,650721660,,Q18492403
Cascine,,hamlet,,,43.524548,12.190149,764065018,,
Cascine di Opagna,,hamlet,,,42.651275,13.1077669,1263997663,,Q18492405
Casco dell'Acqua,,hamlet,,,42.9029027,12.7064583,2381170857,,Q18492407
Case Bacci,,hamlet,,,42.8980356,12.5141425,3997800425,,Q18492410
Case Barbetta,,hamlet,,,43.0096877,12.5824591,317000994,,Q18492412
Case Basse,,hamlet,,,43.1027852,12.804364,3920921497,,Q18492414
Case Basse,,hamlet,,,42.8054901,12.3964327,4031085703,,
Case Beretta,,hamlet,,,43.0740111,12.5328322,12112504452,,Q18492416
Case Biagetto,,hamlet,,,43.2541075,12.6735318,3999617095,,Q18492418
Case Branca,,hamlet,,,42.6316989,12.3103696,649354916,,Q18494552
Case Brigolante,,hamlet,,,43.0957604,12.6654998,10126170852,,
Case Brilli,,hamlet,,,43.0013007,12.5361939,3952040528,,Q18492420
Case Colle,,hamlet,,,43.243448,12.61446,312446671,,Q18492424
Case Fabbri,,hamlet,,,42.7101729,11.9895695,317003773,,Q18494555
Case Fontarcano,,hamlet,,,43.3651161,12.5524149,4001259783,,Q18492431
Case Fonte la Valle,,hamlet,,,43.25449,12.6862939,12118620410,,
Case Fornaci,,hamlet,,,43.2565176,12.674182,3999617096,,Q18492432
Case Genni,,hamlet,,,43.191544,12.746669,3999617097,,Q18492434
Case Leone,,hamlet,,,42.9008097,12.5129408,3935942330,,Q18492437
Case Lunghe,,hamlet,,,43.0061328,12.0118462,1296553750,,Q18492439
Case Lunghe,,hamlet,,,43.0483414,12.2061427,4022428450,,
Case Maggi,,hamlet,,,42.7121883,12.1127618,317003781,,Q18494557
Case Mareggio,,hamlet,,,42.8218197,12.7522485,4030018536,,Q18492441
